Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-06 16:32:43,2023-03-06 16:32:44,0.900s,PASSED
delay(2),,,,2023-03-06 16:32:44,2023-03-06 16:32:46,2.011s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-06 16:32:46,2023-03-06 16:32:47,0.889s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-06 16:32:47,2023-03-06 16:32:52,5.662s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-06 16:32:52,2023-03-06 16:32:57,5.008s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:32:57,2023-03-06 16:32:58,0.428s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-06 16:32:58,2023-03-06 16:32:58,0.381s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-06 16:32:58,2023-03-06 16:32:59,1.124s,PASSED
pressBack(),,,,2023-03-06 16:32:59,2023-03-06 16:33:00,0.764s,PASSED
"if (biller == ""Salik"")",,,,2023-03-06 16:33:00,2023-03-06 16:33:00,0.001s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-06 16:33:00,2023-03-06 16:33:02,1.872s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0)",,,,2023-03-06 16:33:02,2023-03-06 16:33:06,4.174s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-06 16:33:06,2023-03-06 16:33:06,0.000s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-06 16:33:06,2023-03-06 16:33:08,1.780s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 0)",,,,2023-03-06 16:33:08,2023-03-06 16:33:10,1.650s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:33:10,2023-03-06 16:33:10,0.278s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:33:10,2023-03-06 16:33:11,1.265s,PASSED
delay(5),,,,2023-03-06 16:33:11,2023-03-06 16:33:16,5.015s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:33:16,2023-03-06 16:33:20,4.066s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-06 16:33:20,2023-03-06 16:33:21,0.913s,PASSED
delay(5),,,,2023-03-06 16:33:21,2023-03-06 16:33:26,5.009s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:33:26,2023-03-06 16:33:33,6.801s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-06 16:33:33,2023-03-06 16:33:34,1.373s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 30)",,,,2023-03-06 16:33:34,2023-03-06 16:33:45,10.521s,PASSED
"tap(findTestObject(""3.Payments/Payment Success page/Button_Add ToMy Bills""), 0)",,,,2023-03-06 16:33:45,2023-03-06 16:33:46,1.246s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Save Bill/textBox_Nickname""), 30)",,,,2023-03-06 16:33:46,2023-03-06 16:33:46,0.268s,PASSED
"tap(findTestObject(""3.Payments/Save Bill/textBox_Nickname""), 0)",,,,2023-03-06 16:33:46,2023-03-06 16:33:47,0.344s,PASSED
"setText(findTestObject(""3.Payments/Save Bill/textBox_Nickname""), biller, 0)",,,,2023-03-06 16:33:47,2023-03-06 16:33:48,1.203s,PASSED
takeScreenshot(),,,,2023-03-06 16:33:48,2023-03-06 16:33:49,0.683s,PASSED
"tap(findTestObject(""3.Payments/Save Bill/button_Verify""), 0)",,,,2023-03-06 16:33:49,2023-03-06 16:33:49,0.834s,PASSED
